Year,AUS,CAN,JPN,KOR,USA
1960,3.728813559,1.358695652,3.574511525,7.965578039,1.457975986
1961,2.287581699,1.018766756,5.368461785,8.195648958,1.070724148
1962,-0.319488818,1.061571125,6.835440348,6.618317756,1.198773348
1963,0.641025641,1.628151261,6.706905564,20.69162906,1.239669421
1964,2.866242038,1.912144703,3.800389453,29.46281568,1.278911565
1965,3.405572755,2.332657201,6.655990943,13.54820329,1.585169264
1966,3.293413174,3.815659068,5.040832059,11.26138585,3.015075377
1967,3.47826087,3.579952267,3.989848089,10.88244215,2.772785623
1968,2.521008403,4.055299539,5.339432957,10.77181958,4.271796153
1969,3.278688525,4.561558902,5.249820911,12.38956768,5.4623862
1970,3.439153439,3.346039814,6.924173835,15.95034161,5.838255338
1971,6.138107417,2.704918033,6.395348837,13.51170385,4.292766688
1972,6.024096386,4.988028731,4.843517139,11.68898571,3.272278247
1973,9.090909091,7.487647282,11.60862355,3.221029139,6.177760064
1974,15.41666667,10.99717115,23.22224581,24.30419537,11.0548048
1975,15.16245487,10.6721886,11.73126615,25.2492579,9.143146865
1976,13.32288401,7.54173863,9.374036386,15.32732854,5.744812635
1977,12.30982019,7.976445396,8.161826896,10.09666316,6.501683995
1978,8.004926108,8.973723352,4.209566011,14.46028762,7.630963839
1979,9.122006842,9.144676979,3.701850925,18.3235003,11.25447113
1980,10.13584117,10.12922051,7.778581766,28.69758728,13.54920197
1981,9.487666034,12.47161241,4.912162918,21.35165317,10.33471534
1982,11.35181976,10.7689719,2.741040956,7.190847626,6.131427
1983,10.03891051,5.86358803,1.899719713,3.420615454,3.212435233
1984,3.96039604,4.304778304,2.261613692,2.273942298,4.300535475
1985,6.734693878,3.962030541,2.032277346,2.459117006,3.545644152
1986,9.050350542,4.194786291,0.595586799,2.74998327,1.898047722
1987,8.533021625,4.356108712,0.126176842,3.049659098,3.664563218
1988,7.215939688,4.028234149,0.67855758,7.146095256,4.077741107
1989,7.533902562,4.9836219,2.272289621,5.700160937,4.82700303
1990,7.333021952,4.780476933,3.078516287,8.573600687,5.39795644
1991,3.17667537,5.625864086,3.251438488,9.333360725,4.234963965
1992,1.012231126,1.490132904,1.760283061,6.212678645,3.028819678
1993,1.753653445,1.865079365,1.243045897,4.80110249,2.951656966
1994,1.969634797,0.165562914,0.695458058,6.265814772,2.607441592
1995,4.6277666,2.148760331,-0.127899045,4.480686995,2.805419689
1996,2.615384615,1.570531125,0.136600359,4.924809687,2.9312042
1997,0.224887556,1.621216381,1.747804587,4.439063761,2.337689937
1998,0.86013463,0.995942457,0.661974191,7.513340122,1.552279099
1999,1.483129403,1.734842951,-0.341296928,0.812996589,2.188027197
2000,4.457435148,2.719439957,-0.676578684,2.259184779,3.376857271
2001,4.407135362,2.52512014,-0.740055504,4.066419648,2.826171119
2002,2.981574539,2.258394409,-0.923494027,2.762511352,1.586031627
2003,2.732595966,2.758563214,-0.256541816,3.514879242,2.270094973
2004,2.343255225,1.857258719,-0.008573388,3.590591391,2.677236693
2005,2.691831683,2.213552034,-0.282946069,2.754090201,3.392746845
2006,3.555287737,2.002025395,0.249355116,2.241847104,3.225944101
2007,2.327611289,2.138383993,0.060039454,2.534846871,2.852672482
2008,4.35029855,2.370270674,1.380078862,4.673795957,3.839100297
2009,1.771117166,0.299466803,-1.35283673,2.756686477,-0.355546266
2010,2.918340027,1.776871541,-0.719979429,2.939181359,1.640043442
2011,3.303850156,2.912135089,-0.267633601,4.02584625,3.156841569
2012,1.762780156,1.515678231,-0.051939058,2.187221208,2.069337265
2013,2.449888641,0.938291898,0.346440326,1.301377058,1.464832656
2014,2.487922705,1.906635907,2.761954083,1.274714702,1.622222977
2015,1.508366722,1.125241361,0.78951789,0.70620817,0.118627136
2016,1.276990945,1.428759547,-0.116666667,0.971674764,1.261583206
2017,1.948647409,1.596884129,0.467211747,1.944455907,2.130110004
2018,1.911400944,2.268225672,0.97990367,1.475862404,2.442583297
2019,,1.949269024,0.476973684,0.382946132,1.812210075
